id,claim,disposition,technical_note
SARA-C001,A BIP39 mnemonic is a human-created sentence or brainwallet.,REJECT,BIP39 transports computer-generated entropy and explicitly warns against user-created sentences.
SARA-C002,The checksum adds independent secret entropy.,CORRECT,The checksum constrains valid encodings and catches some errors; valid mnemonic count remains 2^ENT.
SARA-C003,A valid mnemonic checksum proves the owner or wallet balance.,REJECT,Checksum validity is syntax/integrity only.
SARA-C004,The PBKDF2 step makes weak user passphrases unguessable.,BOUND,BIP39 fixes 2048 iterations; passphrase quality remains security-critical.
SARA-C005,A public Bitcoin address can be inverted to its private key.,REJECT,"The address exposes a script commitment and checksum, not spend authority."
SARA-C006,Any hash collision can spend a specific P2WPKH output.,REJECT,A target preimage matching the witness program and a valid signature path are required; generic collision rhetoric is not sufficient.
SARA-C007,A Bech32 checksum authenticates the wallet owner.,REJECT,It detects transcription errors; it is not authentication.
SARA-C008,An address label on a block explorer proves legal ownership.,REJECT,Labels are external metadata and require independent provenance.
SARA-C009,A 32-bit BIP32 parent fingerprint is a collision-free identity.,REJECT,It is a short identifier and implementations must tolerate collisions.
SARA-C010,An extended public key is harmless public information.,BOUND,"It cannot sign by itself but can reveal address families, balances and privacy-sensitive structure."
SARA-C011,Hardened and normal derivation edges are interchangeable.,REJECT,Hardened children cannot be derived from an extended public parent.
SARA-C012,A Bitcoin address is the same object as a key or wallet.,REJECT,"Address, script, public key, extended node, seed and mnemonic are distinct typed objects."
SARA-C013,The supplied public address authorizes private-key testing because it is public.,REJECT,Public visibility does not confer authorization to access or spend funds.
SARA-C014,Brute force against a uniformly random 12-word mnemonic is a practical test plan.,REJECT,The valid keyspace is 2^128 and the reference metric is astronomically large even at unrealistic rates.
SARA-C015,Address-targeted key search belongs in the reference package.,REJECT,"The package provides decoding and feasibility metrics only, not search or candidate generation."
SARA-C016,Mainnet and test networks are equivalent audit environments.,REJECT,"Training and destructive experiments belong on regtest, signet, testnet or self-owned fixtures."
SARA-C017,Seed or mnemonic may be stored in the UGTS lineage log.,REJECT,"Secrets are transient and prohibited from definitions, traces and certificates."
SARA-C018,The same mnemonic words translated into another language preserve the seed.,REJECT,BIP39 seed derivation hashes the normalized sentence; translation changes the seed.
SARA-C019,One bit can represent the full wallet state.,REJECT,"Checksums, keys, paths, scripts, policy, uncertainty and lineage remain separate."
SARA-C020,Passing public test vectors proves production wallet security.,REJECT,"It establishes reference conformance only; production security needs hardened libraries, secure entropy and key custody."
