operator_id,domain,mechanism,formal_definition,disposition,validation,source_scope
sclp362.profile.packed-swept-cone-v1,Profile,Packed SCLP profile,"Typed finite profile combining a cone relation, log-polar chart, modular time, topology, grammar and two 64-bit key layouts.",ENGINEERING-DERIVED,Specified,pp.9-13
sclp362.type.symbol-separation-v1,Typing,Overloaded-symbol separation,T is slant length; t is linear time; X is a modular tick; phi is a hoop angle; delta_rho and epsilon_guard are distinct.,CORRECTED,Exact contract,pp.1-8
sclp362.type.lowercase-phi-circle-v1,Typing,Lower-case phi as S1 coordinate,Represent phi as a periodic angle in R/(2pi Z); do not identify it with the golden ratio Phi.,RETAIN,Exact,"pp.1,3,7-10"
sclp362.type.delta-family-v1,Typing,Typed delta family,"Separate log-radius increment, time increment, finite-difference step, jitter amplitude and guard margin.",CORRECTED,Exact contract,"pp.1-3,7-8"
sclp362.type.evidence-boundary-v1,Governance,Source/normalization boundary,"Every claim is labeled source-derived, corrected, bounded or rejected and carries a profile scope.",ENGINEERING-DERIVED,Implemented,all
sclp362.geometry.cone-slant-angle-v1,Geometry,Cone from slant length and half-angle,"Given T>0 and alpha in (0,pi/2), derive height h=T cos alpha and base radius R=T sin alpha.",CORRECTED,Exact,p.1
sclp362.geometry.finite-cone-sdf-v1,Geometry,Exact finite-cone signed distance,"Reduce to signed distance from the meridian point to the filled triangle (-R,h),(R,h),(0,0).",ENGINEERING-DERIVED,Implemented,"pp.1,8,10"
sclp362.geometry.cone-relation-class-v1,Geometry,Three-state relation class,"Classify a finite-cone residual as interior, guard-zero or exterior with a declared epsilon.",RETAIN,Implemented,pp.9-10
sclp362.geometry.sphere-sdf-v1,Geometry,Sphere relation,Use ||x-c||-R as an exact local spherical relation.,RETAIN,Implemented,p.1
sclp362.geometry.paired-sphere-support-v1,Support,Two-sphere support pair,Treat the two-sphered eye motif as two local spherical supports with union/intersection and overlap tags.,TRANSLATE,Implemented,p.1
sclp362.sweep.translation-family-v1,Sweep,Rigid translational cone family,C(u)=C0+s(u) with fixed orientation and a declared finite interval.,TRANSLATE,Implemented,"pp.1,6-8"
sclp362.sweep.lipschitz-interval-v1,Sweep,Certified sweep interval,"Uniform samples plus the 1-Lipschitz translation law bound the true sweep infimum in [m-Lh/2,m].",ENGINEERING-DERIVED,Implemented,"pp.1,6-8"
sclp362.sweep.zero-tangent-projector-v1,Kinematics,Zero-surface tangent projection,Project a proposed velocity with P=I-n n^T so its first-order field derivative vanishes on a regular zero set.,TRANSLATE,Implemented,pp.3-4
sclp362.logpolar.chart-v1,Coordinates,Log-polar chart,"rho=ln(r/r0), theta=atan2(y,x) with an explicit core radius.",RETAIN,Implemented,"pp.2-3,8-10"
sclp362.logpolar.core-v1,Coordinates,Explicit origin core,The logarithmic chart does not remove the r=0 singularity; a core flag and radius are mandatory.,CORRECTED,Implemented,p.2
sclp362.logpolar.metric-v1,Metric,Conformal metric tensor,"In the plane ds^2=r^2(d rho^2+d theta^2), so the metric factor is r^2=e^(2 rho) r0^2.",ENGINEERING-DERIVED,Implemented,"pp.2,9-10"
sclp362.logpolar.exact-radial-step-v1,Metric,Exact local radial increment,"A log step delta_rho gives delta_r=r(exp(delta_rho)-1), approximately r delta_rho only to first order.",CORRECTED,Implemented,p.2
sclp362.logpolar.jacobian-v1,Kinematics,Log-polar Jacobian,"J=r[[cos theta,-sin theta],[sin theta,cos theta]].",ENGINEERING-DERIVED,Implemented,"pp.3,8,10"
sclp362.logpolar.velocity-v1,Kinematics,Velocity transform,v=r(rho_dot e_r+theta_dot e_theta).,ENGINEERING-DERIVED,Implemented,p.3
sclp362.logpolar.acceleration-v1,Kinematics,Change-of-change transform,a=r[(rho_ddot+rho_dot^2-theta_dot^2)e_r+(theta_ddot+2 rho_dot theta_dot)e_theta].,ENGINEERING-DERIVED,Implemented,"pp.1,3,8,10"
sclp362.logpolar.gradient-v1,Metric,Gradient covector transform,Cartesian gradient equals (f_rho e_r+f_theta e_theta)/r; physical force scaling still requires a model.,CORRECTED,Implemented,p.10
