catalog_id,operator_id,domain,mechanism,formal_definition,source_basis,disposition,bounds,validation
BEA361-D001,bea361.profile.synthetic-text-v2,Profile,Synthetic text representation profile,"P=(Sigma,N,tau,L,w,T4,nu) fixes normalization, provenance transduction, explicit cycle annotations, zero-metric whitespace hinges, torus dimension 4 and target value 19.",course-correction profile prompt,PROFILE-AXIOM,Valid only inside the named profile; not standard font topology.,Schema + constructor tests
BEA361-D002,bea361.normalize.canonical-space-v1,Representation,Canonical whitespace normalization,"N lowercases, applies NFC and reduces every non-empty whitespace run to one separator while preserving separator count after normalization.",course-correction profile prompt,ENGINEERING,Positional cycle annotations require unchanged layout.,Unit tests
BEA361-D003,bea361.transduce.leet-provenance-v1,Encoding,Leet transducer with provenance,"tau maps a->4, e->3, i->1, o->0 while retaining each source index and source symbol as cell provenance.",source PDF pp.1-5,SOURCE-DERIVED,Finite versioned map; not a universal leet alphabet.,Exact pair reproduction
BEA361-D004,bea361.cell.token-path-v1,Cell complex,Token backbone path,Each token of m symbols becomes a path with m edges and m+1 vertices; separate tokens begin as distinct components.,course-correction profile prompt,PROFILE-AXIOM,One-dimensional CW model only.,Graph count tests
BEA361-D005,bea361.cell.intrinsic-cycle-annotation-v1,Cell complex,Profile-annotated intrinsic cycle,Each declared cycle position adds one loop 1-cell at the symbol anchor. The source and target records each declare exactly four positions.,source PDF pp.1-5; course-correction profile prompt,PROFILE-AXIOM,"Annotations are explicit data, not inferred glyph counters.",beta1=4 after canonical gluing
BEA361-D006,bea361.cell.whitespace-space-loop-v1,Cell complex,Whitespace as zero-metric space loop,"Each token boundary contributes one zero-metric loop edge at the right endpoint of the preceding token, tagged with the next token's entry vertex.",source PDF pp.1-5; course-correction profile prompt,PROFILE-AXIOM,Pseudometric weight zero does not remove the topological cell.,Target pre-gluing beta1=6
BEA361-D007,bea361.topology.betti-graph-v1,Topology,Finite-graph Betti evaluator,"For finite graph X, beta0 is the component count and beta1=E-V+beta0, with loop edges included.",course-correction profile prompt,ENGINEERING,Graph/CW complexes only.,Exact formula tests
BEA361-D008,bea361.topology.euler-characteristic-v1,Topology,Euler characteristic evaluator,chi(X)=V-E=beta0-beta1.,source PDF pp.1-5; course-correction profile prompt,SOURCE-DERIVED,No planar-renderer interpretation is imported.,Exact formula tests
BEA361-D009,bea361.hinge.space-hole-trade-v1,Topology,Space-Hole Trading Lemma,"Replace a loop edge (u,u) by a bridge (u,v) to a distinct component. V and E stay fixed; beta0 and beta1 both decrease by one; chi is conserved.",source PDF pp.1-5; course-correction profile prompt,PROFILE-AXIOM,Requires v in a different component and an actual loop edge.,Proof + executable tests
BEA361-D010,bea361.hinge.zero-metric-bridge-v1,Metric topology,Zero-width pathway realization,The traded separator becomes a bridge with metric weight 0. It joins components topologically while collapsing its metric length in the profile pseudometric.,course-correction profile prompt,PROFILE-AXIOM,Weighted algorithms must accept a pseudometric.,Edge metadata tests
BEA361-D011,bea361.hinge.iterated-space-collapse-v1,Topology,Iterated whitespace collapse,"Apply the Space-Hole trade once per separator. For k tokens and h intrinsic cycles, (beta0,beta1)=(k,h+k-1) becomes (1,h) with chi=1-h throughout.",course-correction profile prompt,ENGINEERING,Separator adjacency must be a tree/order chain.,Generic k-token tests
BEA361-D012,bea361.torus.spanning-tree-collapse-v1,Algebraic topology,Cycle-quotient tree collapse,"Collapse the canonical backbone/bridge spanning tree T, obtaining X/T homeomorphic to a wedge of beta1 circles.",course-correction profile prompt,ENGINEERING,"The quotient, not the uncollapsed tree, is the immersion domain.",Symbolic certificate
BEA361-D013,bea361.torus.cycle-basis-four-v1,Algebraic topology,Ordered four-cycle basis,"When beta1=4, order the four intrinsic loop edges by profile cycle index to obtain c1,...,c4 and H1(X/T;Z)=Z^4.",source PDF pp.1-5; course-correction profile prompt,PROFILE-AXIOM,Reject if canonical beta1 is not exactly four.,Rank tests
BEA361-D014,bea361.torus.coordinate-circle-immersion-v1,Algebraic topology,Synthetic T4 coordinate immersion,Map cj(t) to the jth coordinate circle in T_syn^4=(R/Z)^4; all four cycle generators have winding vectors e_j.,course-correction profile prompt,PROFILE-AXIOM,"Image is the union of four coordinate circles, not the full torus.",Endpoint/coordinate tests
BEA361-D015,bea361.torus.homology-rank-certificate-v1,Algebraic topology,Torus homology certificate,The induced H1 matrix is I4 and has rank 4.,course-correction profile prompt,ENGINEERING,"Certifies generator alignment, not homeomorphism to T4.",Matrix rank test
BEA361-D016,bea361.bits.ascii-fixed-width-v1,Binary encoding,ASCII byte profile,Encode the two transduced strings in 8-bit ASCII.,source PDF pp.1-5,SOURCE-DERIVED,ASCII only in the shipped witness.,Exact bytes
BEA361-D017,bea361.bits.left-nul-alignment-v1,Binary encoding,Left alignment with NUL extension,Embed both byte strings in length n=max(lengths) by appending 0x00 to the shorter source.,source PDF pp.1-5,SOURCE-DERIVED,Alignment and pad byte are part of the witness.,n=11 reproduction
BEA361-D018,bea361.bits.xor-delta-matrix-v1,Binary algebra,XOR delta matrix,Delta=X xor Y in F2^(n x 8); applying the same Delta again inverts the affine translation.,source PDF pp.1-5,SOURCE-DERIVED,"This is bytewise XOR, not a shift instruction.",Roundtrip tests
BEA361-D019,bea361.bits.even-weight-subspace-v1,Binary algebra,Even-weight delta subspace,"E_n=ker(p), p(Delta)=sum_ij Delta_ij mod 2. It has dimension 8n-1 for n>0.",course-correction profile prompt,PROFILE-AXIOM,"Guarantees parity class, not Hamming weight.",Witness weight=38; dimension=87
BEA361-D020,bea361.bits.symmetric-row-pairs-v1,Binary algebra,Repeated-mask symmetry constraints,"The shipped affine subspace adds Delta_3=Delta_4 and Delta_7=Delta_8, reproducing masks 0x5d and 0x5e.",source PDF pp.1-5; course-correction profile prompt,ENGINEERING,Zero-based row indices; pair constraints are profile-specific.,Exact rows + dimension=71
BEA361-D021,bea361.bits.parity-coset-invariance-v1,Binary algebra,Global parity preservation,"For Y=X+Delta, pi(Y)=pi(X)+p(Delta). Delta in E_n forces pi(Y)=pi(X).",course-correction profile prompt,ENGINEERING,One-bit global parity only.,source parity=target parity=1
BEA361-D022,bea361.bits.bijective-entropy-invariance-v1,Information theory,Entropy under fixed XOR translation,"x->x+Delta is a bijection. For any random variable X on the fixed-width code space, H(X+Delta)=H(X); an even Delta additionally keeps parity cosets invariant.",course-correction profile prompt,ENGINEERING,Does not assert equal empirical bit weight or physical entropy.,Proof by bijection
BEA361-D023,bea361.semantic.profile-evaluator-v1,Semantics,Typed evaluator to scalar value,nu maps each declared representation ID to a finite real value; the shipped source and target both map to 19.,source PDF pp.1-5; course-correction profile prompt,PROFILE-AXIOM,No external linguistic universality is inferred.,Exact dictionary evaluation
BEA361-D024,bea361.semantic.fiber-quotient-v1,Metric semantics,Semantic fiber quotient,r~r' iff nu(r)=nu(r'). The quotient Q=R/~ is identified with im(nu) subset R.,course-correction profile prompt,ENGINEERING,Evaluator/profile must be declared.,Equivalence tests
BEA361-D025,bea361.semantic.pullback-pseudometric-v1,Metric semantics,Spatial pullback pseudometric,"For spatial samples p,q labeled by representations, d_nu(p,q)=|nu(lambda(p))-nu(lambda(q))|. It is a pseudometric on space and a metric on Q.",course-correction profile prompt,PROFILE-AXIOM,Distinct spatial points in one semantic fiber may have distance zero.,Metric-law tests
BEA361-D026,bea361.semantic.sdf19-v1,Implicit field,Semantic-boundary signed distance,"F_19(p)=nu(lambda(p))-19 and Z_19=F_19^-1(0). Under d_nu, |F_19(p)|=dist_dnu(p,Z_19).",source PDF pp.1-5; course-correction profile prompt,PROFILE-AXIOM,"Exact only in the semantic quotient/pullback metric, not Euclidean rendering space.",SDF identity tests
BEA361-D027,bea361.semantic.zero-set-guard-v1,Event calculus,Finite semantic guard band,g_epsilon(r)=|nu(r)-19|-epsilon; commit when g_epsilon<=0 under ordinary UGTS support and compatibility gates.,course-correction profile prompt,ENGINEERING,epsilon must be finite and non-negative.,Guard tests
BEA361-D028,bea361.certificate.integrated-bea-v2,Certificate,Integrated BEA certificate,"Record augmented/canonical Betti signatures, trade records, T4 homology certificates, XOR witness, parity/entropy scope, semantic quotient and explicit non-claims.",course-correction profile prompt,ENGINEERING,Certificate validity is profile-exact and non-transferable without profile identity.,End-to-end tests
BEA361-D029,bea361.pipeline.query-first-handoff-v1,Architecture,Handoff to UGTS event order,"After the BEA certificate, continue support -> compatibility -> guard -> verified event -> transition -> lineage.",UGTS baseline + course-correction profile prompt,ENGINEERING,BEA does not replace support or compatibility.,Definition DAG validation
