mechanism_id,domain,name,source_basis,source_motif,normalized_technical_definition,gpu_native_realization,physical_hardware_realization,status,validation_state,dependencies
M001,Numeric/encoding,Radix digit threshold,S09 pp.1–3,1→10 in binary; 9→10 in decimal,A digit-count transition occurs at b^k in radix b.,Integer compare or findMSB.,Counter width transition or address decoder.,RETAIN,Exact,
M002,Numeric/encoding,Positional power weighting,S09 pp.1–4,Each position is a power of the base,Value is Σ digit_k·b^k.,Shift/add for base 2; multiply-add otherwise.,Binary-weighted DAC/address lines.,RETAIN,Exact,
M003,Numeric/encoding,Literal binary glyph parse,S01 pp.2–4; S09 pp.3–4,Read character sequence 100 as binary,Parser mode is part of the schema; `100₂=4₁₀`.,Small DFA or compile-time constant.,Hard-wired decoder.,RETAIN,Exact,
M004,Numeric/encoding,Left-shift pulse placement,S01 pp.4–9,1<<5 and 1<<2,A pulse at bit position k has value 2^k.,Native integer shift.,Register bit line.,RETAIN,Exact,
M005,Numeric/encoding,Zero-based offset/ordinal distinction,S02 pp.1–4,Index 35 is the 36th item,Offset is zero-based; ordinal is offset+1.,Unsigned index with explicit display conversion.,Address counter plus human-facing ordinal.,RETAIN,Exact,
M006,Numeric/encoding,Active-bit filtering,S09 pp.4–6,Ignore zeros; retain 111,Extract set-bit positions or popcount; never change numeric identity silently.,popcount/findLSB loop/subgroup ballot.,Priority encoder.,RETAIN,Exact,
M007,Numeric/encoding,Zero as inactive/silence metadata,S09 pp.4–5,Zeros are pauses,"A domain-specific interpretation attached to bit state, not arithmetic.",Mask channel and metadata tag.,Gated line or no-pulse interval.,TRANSLATE,Schema-dependent,
M008,Numeric/encoding,Binary 19 decomposition,S09 pp.3–5,19=10011,19 = 16+2+1; Hamming weight 3.,Constant/test vector.,Three asserted address lines.,RETAIN,Exact,
M009,Numeric/encoding,Phonetic-to-active-count map,S09 pp.4–7,Three active bits mirror three syllables,Associate an external label count with popcount under a declared language/tokenizer.,"Metadata join, not arithmetic kernel.",Not a physical primitive.,BOUNDED,Corpus-specific,
M010,Numeric/fractal,Pascal parity recurrence,S09 pp.6–9,Odd/even filter on Pascal triangle,"Cell parity is C(n,k) mod 2.",Bitwise Lucas-theorem test `(k & ~n)==0`.,XOR cellular fabric.,RETAIN,Exact,
M011,Numeric/fractal,Sierpiński generation,S09 pp.6–14,Pascal odd cells form a fractal,Binary parity recurrence yields self-similar triangular occupancy.,One thread per cell or bitplane.,Binary mask generator.,RETAIN,Exact,
M012,Numeric/fractal,"Combination count C(5,3)",S09 p.6,Three active bits in five positions,Combinatorial count is 10; it is separate from value 19.,Integer combinatorics/test oracle.,Lookup table.,RETAIN,Exact,
M013,Numeric/fractal,Power-of-two scale boundary,S09 pp.1–9,"Rows/scales at 1,2,4,8,16",Dyadic levels define exact multiresolution boundaries.,Bit shifts and mip-like level IDs.,Binary clock divider/tree.,RETAIN,Exact,
M014,Glyph encoder,Standard percent semantics boundary,"S01 pp.1,7–8",100% equals 1,Default mathematical parser returns 1.0.,Separate parser mode and unit test.,N/A.,RETAIN,Exact,
M015,Glyph encoder,Percent loop decomposition,S01 pp.2–4,Two loops plus slash,Represent glyph as two loop primitives and one slash/stem primitive.,Vector/SDF primitives.,Three geometric features or sensor marks.,TRANSLATE,Constructive,
M016,Glyph encoder,Slash/phi removal operator,S01 pp.2–4,Missing lowercase phi/slash,Delete the slash primitive under an explicit glyph rewrite rule.,Grammar production `Percent→Loop Gap Loop`.,Mask or switchable line segment.,TRANSLATE,Rule-defined,
M017,Glyph encoder,Open-loop terminal suppression,S01 pp.6–9,Unclosed loop drops trailing bit,A source-specific encoder suppresses the final active bit when the terminal loop is open.,Branch in glyph compiler.,Contact/open-circuit sensor.,BOUNDED,Custom rule,
M018,Glyph encoder,100100 concatenation,S01 pp.6–9,Two 100 groups,Concatenate two 3-bit pulse words to a 6-bit word.,`(4u<<3)|4u = 36u`.,Shift register concatenation.,RETAIN,Exact under custom schema,
M019,Glyph encoder,Two-pulse timeline,S01 pp.9–10,Past 100 and present 100,Treat set-bit clusters as two events separated by an address interval.,Event IDs and relative bit positions.,Pulse train with two packets.,TRANSLATE,Deterministic,
M020,Glyph encoder,Pulse superposition by OR,S01 pp.6–10,32 + 4 = 36,Combine non-overlapping pulse masks with bitwise OR.,Native OR.,Wired-OR/logic gate.,RETAIN,Exact,
M021,Numeric/encoding,Explicit-width complement,S01 pp.18–22,Klein re-entry bitwise NOT,Complement must specify width and mask; topology route is not unbounded `~x`.,`(~x)&((1u<<w)-1)`.,Fixed-width inverter.,TRANSLATE,Exact when width declared,
M022,Numeric/encoding,Fractional scale correction,S01 pp.11–16,1.5 described as fractional shift,"Multiplication by 1.5 corresponds to a log2 displacement of log2(1.5), not an integer bit shift.",Multiply/FMA or log2 coordinate offset.,Fixed-point multiplier.,CORRECTED,Exact,
M023,Numeric/encoding,Packed fixed-width record,S06 pp.27–34; S07 pp.26–34,COBOL PICTURE/COMP-3 rigidity,"State fields have declared widths, scales and schemas.","std430 structs, bitfields, FP16 pairs.",Registers/SRAM word layout.,TRANSLATE,Implemented,
M024,Numeric/encoding,Fixed-point financial boundary,S06 pp.27–30,Floating decimal error,Use fixed-point/decimal for exact currency-like quantities; unrelated to geometry unless typed.,Integer scaled arithmetic.,BCD/fixed-point ALU.,RETAIN,Established,
M025,Topology/control,One-bit parity narrow role,"S05 pp.2,7; S03 pp.5–7",Parity as route/validity,"One bit selects a route, orientation or validity convention; continuous state remains separate.",Bitfield predicate.,Flip-flop/control line.,RETAIN,Implemented,
M026,Topology/control,One-bit support mask,S04 pp.1–2,1-bit active sector LUT,A bit masks candidate sectors; it does not encode full geometry.,Bitset/texture/buffer mask.,SRAM/ROM bitplane.,RETAIN,Implemented,
M027,Topology/control,Deterministic jitter seed,S04 pp.7–10,Stochastic sub-pixel jitter,Pseudo-random sequence is keyed by lineage/address for replay.,Hash/blue-noise index.,LFSR or ROM.,TRANSLATE,Specified,
M028,Glyph geometry,D-to-R cut and unroll,S06/S07/S10 pp.1–2,Slice lower curve and form diagonal leg,A curve segment changes constraint class from loop arc to open segment while upper loop remains.,Parametric curve morph or SDF blend.,Hinged/flexible segment.,RETAIN,Constructive,
M029,Glyph geometry,B-to-R lower-loop unfurl,S06/S07/S10 p.1,Sever and straighten lower loop,Release one loop edge and map it to an open leg.,Grammar rewrite.,Mechanical release.,RETAIN,Constructive,
M030,Glyph geometry,Phi loop-plus-stem decomposition,S06/S07/S10 pp.1–2,Circle/oval crossed by stem,Primitive graph with loop node and axial segment.,SDF union or vector graph.,Loop and shaft.,RETAIN,Constructive,
M031,Kinematics,Stem as cutting/rotation axis,S06/S07/S10 pp.1–2,Static knife and torque axis,"Axis defines local frame, cut plane and rotational reference.",Normalized axis vector in state.,Shaft/optical axis.,RETAIN,Implemented,
M032,Kinematics,Side-view pyramid as delta triangle,S06/S07/S10 p.2,Pyramid viewed from side becomes Δ,Use a 2D triangular cross-section for a conical/pyramidal support.,Cone/triangle SDF.,Conical aperture.,TRANSLATE,Constructive,
M033,Kinematics,Delta-T changing axis,S06/S07/S10 pp.2–4,Axis is anchor and displacement,Store reference axis and time derivative separately.,Axis vector plus angular velocity/torque field.,Rotary actuator/sensor.,TRANSLATE,Specified,
M034,Kinematics,Loop-to-line release,S06/S07/S10 pp.2–4,Closed circle becomes diagonal projection,Topology flag selects closed relation vs open parametric segment.,Branchless blend or event-triggered rewrite.,Latch releases segment.,RETAIN,Implemented as route,
M035,Kinematics,Localized parity hinge,S06/S07/S10 pp.3–4,"One connection opens, meridian stays",A graph edge toggles while a pivot node remains invariant.,Adjacency bit plus pivot ID.,Binary latch/hinge.,RETAIN,Specified,
M036,Field geometry,Global hinge everywhere,S06/S07/S10 pp.7–8,Parity modulates whole SDF,A field parameter switches or blends two implicit functions over the domain.,`f=(1-p)f_closed+p f_open`.,Distributed control field.,TRANSLATE,Specified,
M037,Kinematics,Split zero-centered oval,S02 pp.10–12,Oval split at zero,Two half-curves share a zero-displacement boundary.,Paired parametric arcs.,Split ring/flexure.,RETAIN,Constructive,
M038,Kinematics,Antisymmetric torsional wave,S02 pp.12–13,"One half up, one down",Opposite signed displacement about the central hinge.,Sinusoidal phase with sign by side.,Torsional mode.,TRANSLATE,Physical model dependent,
M039,Kinematics,2π unrolled into two π arches,S02 pp.13–15,Positive/negative half-cycles,Partition a periodic path into two half-period intervals.,Phase interval test.,Two phase channels.,RETAIN,Exact,
M040,Kinematics,1:1 arch balance,S02 pp.13–15,π:π symmetry,"Equal interval length; amplitude balance is a model parameter, not universal stability law.",Normalization constraint.,Balanced drive.,BOUNDED,Conditional,
M041,Overlap geometry,Lens intersection region,S02 pp.16–19,Slight overlap of two semicircles,Explicit intersection `A∩B` with area/phase/confidence.,SDF max/intersection.,Overlap coupler.,RETAIN,Exact geometry,
M042,Overlap geometry,Constructive interference interpretation,S02 p.18,Amplitudes stack in overlap,Combine complex amplitudes where supports intersect.,Complex/phasor add.,Interferometric coupler.,TRANSLATE,Model dependent,
M043,Overlap geometry,Tolerance/phase-slip buffer,S02 p.18,Overlap stores misalignment,Overlap width is a measurable alignment or phase-error margin.,Guard-band scalar.,Mechanical/optical tolerance.,TRANSLATE,Measurable,
M044,Overlap geometry,Mutual-information domain,S02 pp.18–19,Shared domain,"Use overlap membership as a join key; mutual information requires distributions, not area alone.",Set intersection plus statistics.,Shared channel.,CORRECTED,Conditional,
