id,category,name,source_expression,normalized_operator,status,sources,pages,notes
N01,Numeric/fractal,Radix carry threshold,Digit-count changes at powers of the radix.,Use radix powers as scale/change boundaries and compact level indices.,retain,S1,1-4,Exact for positional number systems.
N02,Numeric/fractal,Zero-based offset semantics,An index of 35 denotes the 36th stored position.,"Keep value, offset and ordinal position as distinct typed quantities.",retain,S4,1-3,Prevents off-by-one errors; not altered arithmetic.
N03,Numeric/fractal,Active-bit/Hamming-weight filter,19 = 10011 has three active bits; zeros are treated as inactive.,Use popcount as a sparse feature count or seed descriptor.,translate,S1,3-5,"The phonetic syllable link is a mnemonic, not a general encoding law."
N04,Numeric/fractal,Three-point triangle seed,Three active positions are treated as triangle anchors.,Map three non-collinear active samples to a simplex/triangle primitive.,translate,S1,6-7,Any three non-collinear points form a triangle; the mapping is chosen.
N05,Numeric/fractal,Pascal parity to Sierpinski,Odd/even entries in Pascal triangle form a Sierpinski pattern.,Use binomial parity as a deterministic fractal/test-pattern generator.,retain,S1,6-9,"Technical correction: rows 2^k-1, not generally 2^k, are all odd when indexed from zero."
N06,Numeric/fractal,Golden-angle/Fibonacci sampling,Phi/Vogel spacing is proposed to avoid visible repetition.,Optional quasi-uniform angular sample schedule or dither seed.,translate,S1,13-15,Useful heuristic; it does not guarantee zero aliasing or zero cost.
N07,Numeric/fractal,Lemniscate/strange-loop recursion,Infinity and Escher loops symbolize self-generation.,Represent recursion with explicit finite grammar depth and cycle detection.,demote,S1,18-23,"Keep as a recursion motif, not a proof of self-creating physics."
G01,Glyph/kinematic,Loop-plus-stem decomposition,Chosen phi/D/B glyphs are decomposed into loop(s) plus a stem.,Represent glyph geometry as a graph of curve segments and junctions.,translate,"S9,S2,S8",1-2,Glyph form varies by font; the decomposition is a design convention.
G02,Glyph/kinematic,Cut-unroll D/B to R,Break the lower loop and straighten the released arc into a diagonal leg.,Boundary-graph edit plus continuous curve morph from closed arc to open segment.,retain,"S9,S2,S8",1-4,Implementable as path topology and control-point interpolation.
G03,Glyph/kinematic,Torque axis T,The stem is an axis; rotation shears/unreels the lower loop.,Use a rotation/warp parameter around a declared pivot axis.,translate,"S9,S2,S8",1-4,Torque language is a kinematic metaphor unless a physical model is supplied.
G04,Glyph/kinematic,Delta-time and phase modulation,Delta T and delta phi drive movement and phase change.,Store continuous time and phase as separate state coordinates and derivatives.,retain,"S1,S7,S9",10-15;14-18;2-5,"Do not overload time, torque and triangle into one untyped symbol."
G05,Glyph/kinematic,One-bit parity hinge,A bit toggles closed/open or route A/B.,Use a schema-bound route/parity flag that selects transition behavior.,retain,"S5,S6,S7,S9",2-8;5-7;14-25;3-8,The bit is not the complete state.
G06,Glyph/kinematic,Global hinge field,The hinge is applied everywhere through an SDF sign/state change.,Model a global morph or transition field evaluated at every query point.,translate,"S9,S2,S8",7-8,A morph parameter changes the implicit field; topology changes require explicit handling.
G07,Glyph/kinematic,Chirality/orientation flip,R/S or mirrored states are associated with sign/orientation reversal.,Track an orientation bit and apply a gluing/transition map that may flip it.,retain,"S1,S7,S9",21-29;18-25;4-8,Orientation is distinct from sheet and phase.
G08,Glyph/kinematic,Split oval to opposing arches,A zero-centered oval is split and torque opens it into positive/negative wave arches.,Use symmetric curve branches around a fixed node for waveform or deformation profiles.,translate,S4,10-16,"The exact 1:1 amplitude condition is a chosen symmetric case, not universal warped-disk physics."
G09,Glyph/kinematic,Overlap lens/shared domain,Slightly overlapping semicircles form an interference/tolerance/shared-information zone.,"Use intersection A∩B, lens area, or blend region as explicit shared domain.",retain,S4,16-19,"Interpretation depends on geometry, mechanics or information semantics."
