claim,source_location,classification,evidence,scientific_verdict,required_test
The corpus is fundamentally a non-raster state/event ontology.,"Chronological pp.1,5-7",SUPPORTED BY CORPUS,"Latest synthesis explicitly recasts cones, SDF zero, parity, double vacuum and hourglass as operators in a shared state space.",Coherent as a software architecture concept.,Implement a restricted relation family with state_at and next_event queries.
All world structure should be represented globally in spherical coordinates.,"Earlier corpus motifs; corrected in Chronological pp.1,6",REJECTED BY CORPUS,"Mature documents state spherical/polar structure is local support and sensing, not total world replacement.",No general advantage; coordinate singularities and topology matter.,Compare hybrid local charts against global coordinate models.
A fixed closed expression can be evaluated at a distant time without replaying every frame.,Chronological p.8,BOUNDED PLAUSIBLE CLAIM,Horizon independence is defined narrowly for fixed expressions.,Possible for analytically solvable or compiled dynamics.,Measure query cost versus skipped horizon and expression depth.
The architecture has universal O(1) complexity.,"Hollowland pp.15,26-33; corrected in Chronological p.8",OVERCLAIM,Later source explicitly rejects universal constant cost.,"False in general due root solving, branching, event density and expression growth.",Complexity analysis and adversarial event-density benchmarks.
The architecture uses zero memory.,"Hollowland pp.15,26-33; corrected in Chronological pp.1,8",OVERCLAIM,"Later source acknowledges seed, grammar, exogenous log and lineage storage.",False literally.,"Measure total memory including coefficients, logs, branches, calibration and solver workspace."
Double vacuum is a second physical vacuum.,Hollowland pp.1-10; corrected in Chronological p.6,MISREADING,Mature definition is absence of coupling between co-located sectors.,"Useful state-partition abstraction, not a new vacuum state.",Demonstrate gated co-location in a formal model or isolated optical modes.
A Klein bottle supplies a global signed distance field with automatic sign flipping.,Hollowland pp.16-17,PARTLY MISAPPLIED,Non-orientability makes a global inside/outside sign nontrivial.,"Requires local charts, orientation double cover or explicit gluing; no automatic bitwise NOT law.","Specify manifold atlas, transition functions and local SDF convention."
Passing B=0 should invoke transition semantics.,Chronological pp.5-7,SUPPORTED DESIGN RULE,Latest synthesis explicitly converts zero from a marching target to event surface.,Standard hybrid-system pattern.,Robust root detection with tangency/uncertainty handling.
A one-bit state is sufficient to encode the whole system.,"Earlier corpus; corrected in Spherical Throughput pp.2,7",REJECTED,"Later source limits bit to route/validity/parity; amplitudes, thresholds, uncertainty and lineage are separate.",False for nontrivial physical/biological systems.,Define bit schema and full surrounding state.
Golden-ratio phase prevents loops and stabilizes the system.,Hollowland pp.12-19; ADDominUS pp.2-4,UNSUPPORTED,The sources conflate φ phase with Φ golden ratio.,"Irrational rotations can reduce exact periodic recurrence in ideal arithmetic, but do not prevent numerical loops or instability generally.",Prove recurrence/conditioning properties for specified dynamics and finite precision.
Log-polar coordinates eliminate geometric distortion.,Hollowland pp.17-19; ADDominUS pp.2-4,OVERCLAIM,Log-polar mapping redistributes scale and angle but is not globally isometric.,It introduces metric distortion and an origin singularity.,"Quantify inverse error, sampling density and condition number."
The cone-SDF intersection is always solvable in one operation.,Hollowland pp.14-18,UNSUPPORTED GENERALIZATION,Only simple relation families have closed-form roots.,General nonlinear systems require numerical or certified root-finding and may have multiple roots.,Specify relation family and solver guarantees.
The practical optical architecture is Maxwell + fluid interface + coupled modes + event logic.,Spherical Throughput p.5,SUPPORTED BOUNDED FORMALIZATION,The later integration explicitly separates governing physics by type.,Technically coherent modeling stack.,Calibrated multiphysics model and matched electronic baseline.
Liquid overclad on a solid waveguide is the best first prototype.,Spherical Throughput p.4,REASONABLE ENGINEERING RECOMMENDATION,"Source compares liquid overclad, liquid core and input liquid lens.",Plausible due packaging/control simplicity relative to liquid core.,"Fabricate and measure loss, phase range, settling and hysteresis."
Hollowlens-0 already outperforms electronics.,Spherical Throughput pp.9-12,NOT ESTABLISHED,Source labels component feasibility as not system validation.,Unknown.,"Verified events/s and events/J at equal error/uncertainty, including all support hardware."
Optical propagation means zero latency.,ADDominUS pp.18-24; rejected in Spherical Throughput p.10,FALSE LITERALLY,"Later source includes coupling, actuation, detection, conversion and control.",End-to-end latency is nonzero.,Measure median and tail latency including liquid settling and electronics.
Photonics means zero heat or zero power.,ADDominUS pp.18-24; rejected in Spherical Throughput p.10,FALSE LITERALLY,"Lasers, modulators, actuators, detectors and control consume energy.","Passive photonics may reduce some operations, not total power to zero.",Wall-plug energy per verified event.
The physical component classes behind Hollowlens-0 exist.,Spherical Throughput p.12,SUPPORTED COMPONENT PRECEDENT,"Source lists liquid lenses, optofluidic MZIs, liquid guides and femtosecond-written glass guides with literature anchors.",Yes at component level.,Integrated system demonstration.
Spherical throughput equals raw photon flux.,"Spherical Throughput pp.3,6",REJECTED,"Metric counts only supported, compatible, guard-crossing, confident outputs.",Correct to distinguish verified event rate from detector traffic.,Pre-register gates and error budget.
