term,category,source_meaning,technical_translation,status,caveat,source_anchors
CCD,computer science / imaging,Frontend sensor problem and collision tunneling.,Ambiguous acronym: charge-coupled device in imaging; continuous collision detection in simulation.,DECODER DISAMBIGUATION,The corpus deliberately mixes the two meanings.,DMT pp.15-18; Chronological pp.7-10; ADDominUS pp.21-22
log-polar LUT,computer science / optics,Compressed radial-angular lookup field.,Table addressed by ρ=ln r and θ; useful for scale-to-translation mapping and foveated/local processing.,ESTABLISHED TRANSFORM + SOURCE DESIGN,"Quantization, singular origin, interpolation and information loss must be measured.","DMT pp.2-3,9-18; Hollowland pp.12-17; KC Vector Art pp.1-10"
camera obscura / pinhole,optics,Singular point that inverts inward/outward cones.,Geometric-optics projection through a small aperture producing an inverted image.,ESTABLISHED OPTICS,A finite aperture has diffraction and brightness/sharpness tradeoffs; it is not a topological singularity in the strict sense.,DMT pp.6-10
spectral power distribution S(λ),optics,Incoming radiation density by wavelength.,Optical power per wavelength interval.,ESTABLISHED OPTICS,"A lens response also depends on spatial, angular, polarization and coherence variables.","DMT pp.2-3,9"
spatial harmonics,optics,Lens-induced Fourier frequencies.,Fourier components of an optical field or image.,ESTABLISHED OPTICS,Nonlinear optics is not required for ordinary diffraction harmonics.,DMT pp.2-3
chromatic aberration,optics,Infinitesimal separation between colors.,Wavelength-dependent refraction/focus or magnification.,ESTABLISHED OPTICS,"A constant log-radius offset can approximate scale-like lateral aberration, not all longitudinal/lateral aberrations.",DMT pp.13-15; KC Vector Art pp.7-10
dither / micro-jitter,imaging,Wiggle to fill gaps in a discrete optical sieve.,"Spatial/temporal sampling offsets, dithering or super-resolution pixel shift.",ESTABLISHED ENGINEERING,Does not reconstruct arbitrary missing information without assumptions and calibration.,"DMT pp.13-15,28-30; KC Vector Art pp.7-10"
waveguide,photonics,Physical matrix-in-glass endpoint.,Dielectric structure that confines and routes optical modes.,ESTABLISHED PHOTONICS,It does not compute arbitrary equations without a specified transfer function and input/output encoding.,Spherical Throughput pp.2-12; ADDominUS pp.47-65
matrix-in-glass,photonics,Geometry physically stores a transformation.,Calibrated passive or tunable transfer matrix in an interferometric waveguide network.,BOUNDED ENGINEERING PROPOSAL,Not a universal symbolic computer; calibration and loss must be included.,"Spherical Throughput pp.2,5"
Maxwell field equation,photonics,Equation replacing optical metaphor.,Electromagnetic boundary-value problem in the actual dielectric geometry.,ESTABLISHED PHYSICS,"Requires material dispersion, loss and boundary conditions.",Spherical Throughput p.5
coupled-mode theory,photonics,Guided amplitudes evolve through a matrix.,"ODEs for modal amplitudes, propagation constants, attenuation and coupling.",ESTABLISHED PHOTONICS,Valid under approximations that must be checked for the device.,Spherical Throughput p.5
Mach-Zehnder interferometer (MZI),photonics,2×2 phase matrix in Hollowlens-0.,Interferometer converting phase/coupling changes into output intensity differences.,ESTABLISHED PHOTONICS,Needs stable path balance and calibration.,"Spherical Throughput pp.4,9,12"
mode-overlap integral,photonics,Spherical field couples to a chosen guided mode.,Normalized field overlap ηc between input field and mode.,ESTABLISHED PHOTONICS,"Polarization, normalization and complex field conventions must be explicit.",Spherical Throughput p.5
