term,category,source_meaning,technical_translation,status,caveat,source_anchors
sphere / spherical,geometry,Recurring substrate motif.,"Use as a local radial-angular support or chart for reach, shelling, orientation and uncertainty.",SOURCE-DEFINED OPERATOR,The mature corpus rejects a globally spherical replacement for every representation.,"Chronological pp.1,5-6; Spherical Throughput p.3"
local spherical support,geometry,"Admissible local field around a coupler, sensor or entity.","A bounded set S_q or constraint C(q,t)≤0 in radius and angles.",BOUNDED ENGINEERING PROPOSAL,"Must specify coordinates, tolerance and measurement boundary.","Chronological pp.5-7; Spherical Throughput pp.3,5-6"
cone,geometry,"Lighthouse beam, sensor cone, causal cone, support region.",Analytic domain of relevance/influence; a query filter rather than necessarily a rendered ray bundle.,SOURCE-DEFINED OPERATOR,"A cone alone does not solve visibility, dynamics or chemistry.","Chronological pp.5-7,10"
sweeping lighthouse,geometry,A cone rotating around an origin or boundary.,Time-parameterized angular support or scanning aperture.,DECODER INFERENCE,"Claims of infinite angular velocity near a log-polar origin are coordinate singularity rhetoric, not free computation.",Hollowland pp.18-19; DMT pp.4-10
hourglass / double cone,geometry,Four chambers and central pinch.,Routing partition with a rank-changing event locus and invariant axis.,SOURCE-DEFINED OPERATOR,Not a demonstrated physical topology.,Chronological p.6; Hollowland pp.24-25
quad hourglass,geometry,Four compatibility/routing chambers around B=0.,Finite-state transition diagram over sheet and route bits.,DECODER INFERENCE,Requires explicit transition table and invariants.,Chronological p.6; ADDominUS pp.44-47
pinch point,geometry,Narrow neck or zero locus.,"Guard/event surface where a transition is declared; in photonics it may be a cutoff, dark port or critical-coupling threshold.",BOUNDED ENGINEERING PROPOSAL,Must be measured; it is not automatically an eigenvalue collapse.,"Spherical Throughput pp.2,5,7"
signed distance field (SDF),geometry,Implicit geometry and inside/outside field.,Scalar field d(x) whose zero level set describes a boundary; sign labels sides when orientability permits.,ESTABLISHED SCIENCE,Combined CSG expressions may not remain exact Euclidean distances; evaluation may still require numerical methods.,Hollowland pp.16-18; KC Vector Art pp.1-3
SDF = 0 / B = 0,geometry,The archive's 'zero' boundary.,Explicit event/guard/transition relation rather than a point to march past.,SOURCE-DEFINED OPERATOR,Zero does not itself prove exact root solving or eliminate sampling.,Chronological pp.5-7; Spherical Throughput p.5
positive / negative SDF,geometry,Outside / inside continuation through zero.,Two sides of an oriented implicit surface.,ESTABLISHED SCIENCE,A global sign is problematic on a non-orientable surface without a covering-space or local-orientation convention.,Hollowland pp.16-17
Klein bottle,topology,"No clean inside/outside, looping orientation flip.",A closed non-orientable surface; useful as a routing/gluing abstraction with explicit port and orientation maps.,ESTABLISHED SCIENCE + SOURCE ABSTRACTION,A familiar 3D model self-intersects; literal non-orientable hardware is not validated.,"Hollowland pp.7-11; Spherical Throughput pp.2,5,10"
Möbius strip,topology,Inside and outside become one continuous side.,A non-orientable band with one boundary component; a simple orientation-reversing gluing example.,ESTABLISHED SCIENCE,Psychological 'soul' interpretations are metaphor.,DMT pp.4-10
sphere eversion,topology,Turning a sphere inside out without tearing.,A regular homotopy of an immersed sphere in 3D allowing self-intersections.,ESTABLISHED SCIENCE,Not a material deformation without self-intersection; does not imply a Klein bottle reversal mechanism.,Hollowland pp.10-11
