term,category,source_meaning,technical_translation,status,caveat,source_anchors
sphere / spherical,geometry,Recurring substrate motif.,"Use as a local radial-angular support or chart for reach, shelling, orientation and uncertainty.",SOURCE-DEFINED OPERATOR,The mature corpus rejects a globally spherical replacement for every representation.,"Chronological pp.1,5-6; Spherical Throughput p.3"
local spherical support,geometry,"Admissible local field around a coupler, sensor or entity.","A bounded set S_q or constraint C(q,t)≤0 in radius and angles.",BOUNDED ENGINEERING PROPOSAL,"Must specify coordinates, tolerance and measurement boundary.","Chronological pp.5-7; Spherical Throughput pp.3,5-6"
cone,geometry,"Lighthouse beam, sensor cone, causal cone, support region.",Analytic domain of relevance/influence; a query filter rather than necessarily a rendered ray bundle.,SOURCE-DEFINED OPERATOR,"A cone alone does not solve visibility, dynamics or chemistry.","Chronological pp.5-7,10"
sweeping lighthouse,geometry,A cone rotating around an origin or boundary.,Time-parameterized angular support or scanning aperture.,DECODER INFERENCE,"Claims of infinite angular velocity near a log-polar origin are coordinate singularity rhetoric, not free computation.",Hollowland pp.18-19; DMT pp.4-10
hourglass / double cone,geometry,Four chambers and central pinch.,Routing partition with a rank-changing event locus and invariant axis.,SOURCE-DEFINED OPERATOR,Not a demonstrated physical topology.,Chronological p.6; Hollowland pp.24-25
quad hourglass,geometry,Four compatibility/routing chambers around B=0.,Finite-state transition diagram over sheet and route bits.,DECODER INFERENCE,Requires explicit transition table and invariants.,Chronological p.6; ADDominUS pp.44-47
pinch point,geometry,Narrow neck or zero locus.,"Guard/event surface where a transition is declared; in photonics it may be a cutoff, dark port or critical-coupling threshold.",BOUNDED ENGINEERING PROPOSAL,Must be measured; it is not automatically an eigenvalue collapse.,"Spherical Throughput pp.2,5,7"
signed distance field (SDF),geometry,Implicit geometry and inside/outside field.,Scalar field d(x) whose zero level set describes a boundary; sign labels sides when orientability permits.,ESTABLISHED SCIENCE,Combined CSG expressions may not remain exact Euclidean distances; evaluation may still require numerical methods.,Hollowland pp.16-18; KC Vector Art pp.1-3
SDF = 0 / B = 0,geometry,The archive's 'zero' boundary.,Explicit event/guard/transition relation rather than a point to march past.,SOURCE-DEFINED OPERATOR,Zero does not itself prove exact root solving or eliminate sampling.,Chronological pp.5-7; Spherical Throughput p.5
positive / negative SDF,geometry,Outside / inside continuation through zero.,Two sides of an oriented implicit surface.,ESTABLISHED SCIENCE,A global sign is problematic on a non-orientable surface without a covering-space or local-orientation convention.,Hollowland pp.16-17
Klein bottle,topology,"No clean inside/outside, looping orientation flip.",A closed non-orientable surface; useful as a routing/gluing abstraction with explicit port and orientation maps.,ESTABLISHED SCIENCE + SOURCE ABSTRACTION,A familiar 3D model self-intersects; literal non-orientable hardware is not validated.,"Hollowland pp.7-11; Spherical Throughput pp.2,5,10"
Möbius strip,topology,Inside and outside become one continuous side.,A non-orientable band with one boundary component; a simple orientation-reversing gluing example.,ESTABLISHED SCIENCE,Psychological 'soul' interpretations are metaphor.,DMT pp.4-10
sphere eversion,topology,Turning a sphere inside out without tearing.,A regular homotopy of an immersed sphere in 3D allowing self-intersections.,ESTABLISHED SCIENCE,Not a material deformation without self-intersection; does not imply a Klein bottle reversal mechanism.,Hollowland pp.10-11
double vacuum,state model,Two vacua or spaces at the same location.,"Absence of coupling: co-located states remain isolated because phase, sheet, orientation, address or mode tags are incompatible.",SOURCE-DEFINED OPERATOR,Not a second physical vacuum or guaranteed physical barrier.,"Chronological p.6; Spherical Throughput pp.2,4,7"
phase sheet,state model,Parallel state layer.,"Discrete state label σ, often Z2, that partitions compatibility sectors.",SOURCE-DEFINED OPERATOR,Needs explicit semantics; merely duplicating coordinates is not a physics model.,Chronological pp.5-6
one-bit / parity,state model,Binary transition state.,"Route, sheet, freshness, admission or validity flag under a declared schema.",SOURCE-DEFINED OPERATOR,"The bit is not the full optical, geometric, biological or semantic state.","Spherical Throughput pp.2,7"
φ (phi),mathematics,"Phase, azimuth, angle, torque or golden-ratio motif.",Separate meanings: local angle/phase variable φ; phase law ϕ(t); golden ratio Φ only when explicitly designed.,DECODER DISAMBIGUATION,The corpus often conflates these. The golden ratio has no automatic stabilizing power.,Hollowland pp.12-19; Ben Burgers pp.10-16; ADDominUS pp.2-4
λ (lambda),linear algebra,Hourglass-like symbol and collapse variable.,"Eigenvalue in Av=λv, wavelength in optics, or rate parameter depending on context.",ESTABLISHED SCIENCE,It is not an 'incomplete hourglass'; symbol meaning is equation-specific.,Hollowland pp.20-23
eigenvector,linear algebra,Stable on-course axis.,Nonzero vector whose direction is preserved by a linear transformation.,ESTABLISHED SCIENCE,"Biological health, identity or sovereignty are not automatically eigenvectors.",Hollowland pp.20-23; ADDominUS pp.2-18
eigenvalue collapse,linear algebra,Dimension falls to zero at a pinch.,A matrix/operator loses rank when a singular value or eigenvalue reaches zero.,ESTABLISHED MATH + SOURCE METAPHOR,"Does not physically erase actors, trauma, noise or particles.",Hollowland pp.20-25; ADDominUS pp.26-35
invariant,state model,Stable anchor through transitions.,Quantity or relation preserved by specified transformations.,ESTABLISHED SCIENCE,Must be defined and proven for the chosen dynamics.,"Chronological pp.5-7,11-12"
lineage / ontological address,state model,Identity persists through split/merge and coordinate change.,Generative identifier plus parent/transition history.,SOURCE-DEFINED OPERATOR,A proposed data-model concept; 64-bit uniqueness and reconstruction claims require collision and branch rules.,"Chronological pp.5-8,11; ADDominUS pp.7-11"
branch,state model,Alternative transition history.,Discrete path in a hybrid dynamical system or event tree.,ESTABLISHED SCIENCE,Branch explosion is a stated scaling risk.,"Chronological pp.8,11"
finite grammar,computer science,Compact world generator.,"Finite rules that generate relations, trajectories or structures.",SOURCE-DEFINED OPERATOR,Expression size and algebraic closure can grow rapidly.,"Chronological pp.5-8,11-12"
exogenous log,computer science,Store only novelty not generated by the grammar.,Append-only event log of external interventions/shocks used with seed and grammar for reconstruction.,SOURCE-DEFINED OPERATOR,External novelty and branch history still accumulate.,"Chronological pp.6,8,12; ADDominUS pp.10-11"
novelty-proportional memory,computer science,Memory grows with novelty rather than geometric extent.,Regenerate deterministic closed dynamics; log irreducible external events and lineage.,ENGINEERING HYPOTHESIS,Not zero memory; expression and log growth can dominate.,"Chronological p.8; ADDominUS pp.10-11,25"
state_at(t),computer science,Direct state query.,Evaluate a closed or bounded state expression at requested time without replaying all intermediate frames.,BOUNDED ENGINEERING PROPOSAL,"Cost depends on expression size, conditioning and branch history.","Chronological pp.7-8,11"
next_event,computer science,Direct transition query.,Find the earliest compatible root/guard crossing after t0.,BOUNDED ENGINEERING PROPOSAL,"Multiple roots, tangencies, dense events and degeneracies can be hard.","Chronological pp.6-8,11"
0-based indexing,computer science,21+7+7=35 offset reaches the 36th element.,Array position 35 is the 36th item when indexing begins at zero.,ESTABLISHED COMPUTER SCIENCE,This does not change arithmetic; 21+7+7 remains 35.,Ben Burgers pp.1-6
BVH / octree / sieve,computer science,Conventional spatial filter criticized as a trap.,Acceleration structures for pruning spatial intersection candidates.,ESTABLISHED COMPUTER SCIENCE,They are not inherently obsolete; analytic supports and compatibility filters are alternative pruning methods with their own costs.,Hollowland pp.31-32; ADDominUS pp.21-25
CCD,computer science / imaging,Frontend sensor problem and collision tunneling.,Ambiguous acronym: charge-coupled device in imaging; continuous collision detection in simulation.,DECODER DISAMBIGUATION,The corpus deliberately mixes the two meanings.,DMT pp.15-18; Chronological pp.7-10; ADDominUS pp.21-22
raster trap,computer science,Mistaking sampled projection for world ontology.,Critique of frame-by-frame materialization when direct relation/event queries suffice.,SOURCE-DEFINED CRITIQUE,Rasterization and sampling remain valid downstream tools and often necessary numerical methods.,"Chronological pp.1,5,9-10"
Feynman vectors,mathematics / graphics,Phase-amplitude paths used to decide pixels.,"Closest established analogs are complex phasors, wave amplitudes or path-integral language.",UNSUPPORTED TERMINOLOGY,No defined 'Kees Klootwijk Feynman vector' formalism is supplied.,KC Vector Art pp.1-8
log-polar LUT,computer science / optics,Compressed radial-angular lookup field.,Table addressed by ρ=ln r and θ; useful for scale-to-translation mapping and foveated/local processing.,ESTABLISHED TRANSFORM + SOURCE DESIGN,"Quantization, singular origin, interpolation and information loss must be measured.","DMT pp.2-3,9-18; Hollowland pp.12-17; KC Vector Art pp.1-10"
camera obscura / pinhole,optics,Singular point that inverts inward/outward cones.,Geometric-optics projection through a small aperture producing an inverted image.,ESTABLISHED OPTICS,A finite aperture has diffraction and brightness/sharpness tradeoffs; it is not a topological singularity in the strict sense.,DMT pp.6-10
spectral power distribution S(λ),optics,Incoming radiation density by wavelength.,Optical power per wavelength interval.,ESTABLISHED OPTICS,"A lens response also depends on spatial, angular, polarization and coherence variables.","DMT pp.2-3,9"
spatial harmonics,optics,Lens-induced Fourier frequencies.,Fourier components of an optical field or image.,ESTABLISHED OPTICS,Nonlinear optics is not required for ordinary diffraction harmonics.,DMT pp.2-3
chromatic aberration,optics,Infinitesimal separation between colors.,Wavelength-dependent refraction/focus or magnification.,ESTABLISHED OPTICS,"A constant log-radius offset can approximate scale-like lateral aberration, not all longitudinal/lateral aberrations.",DMT pp.13-15; KC Vector Art pp.7-10
dither / micro-jitter,imaging,Wiggle to fill gaps in a discrete optical sieve.,"Spatial/temporal sampling offsets, dithering or super-resolution pixel shift.",ESTABLISHED ENGINEERING,Does not reconstruct arbitrary missing information without assumptions and calibration.,"DMT pp.13-15,28-30; KC Vector Art pp.7-10"
microsaccades,biology / vision,Biological 1-bit jiggle or binary search.,Small fixational eye movements contributing to fixation and visual transients.,ESTABLISHED BIOLOGY + MISAPPLIED ANALOGY,They are not literally a binary-search algorithm and their functional role is more nuanced.,DMT pp.28-30; ADDominUS pp.49-62
waveguide,photonics,Physical matrix-in-glass endpoint.,Dielectric structure that confines and routes optical modes.,ESTABLISHED PHOTONICS,It does not compute arbitrary equations without a specified transfer function and input/output encoding.,Spherical Throughput pp.2-12; ADDominUS pp.47-65
liquid lens / liquid overclad,optofluidics,Tunable spherical liquid interface.,"Microfluidic or electrowetting element controlling curvature, effective index, focus, phase or coupling.",ESTABLISHED COMPONENT CLASS,"Settling time, hysteresis, evaporation, bubbles, absorption and packaging matter.","Spherical Throughput pp.2-5,8-12"
matrix-in-glass,photonics,Geometry physically stores a transformation.,Calibrated passive or tunable transfer matrix in an interferometric waveguide network.,BOUNDED ENGINEERING PROPOSAL,Not a universal symbolic computer; calibration and loss must be included.,"Spherical Throughput pp.2,5"
Maxwell field equation,photonics,Equation replacing optical metaphor.,Electromagnetic boundary-value problem in the actual dielectric geometry.,ESTABLISHED PHYSICS,"Requires material dispersion, loss and boundary conditions.",Spherical Throughput p.5
Young-Laplace equation,optofluidics,Pressure controls liquid meniscus curvature.,Δp=γ(1/R1+1/R2).,ESTABLISHED PHYSICS,"Contact angle, gravity, hysteresis and dynamic effects may matter.",Spherical Throughput p.5
coupled-mode theory,photonics,Guided amplitudes evolve through a matrix.,"ODEs for modal amplitudes, propagation constants, attenuation and coupling.",ESTABLISHED PHOTONICS,Valid under approximations that must be checked for the device.,Spherical Throughput p.5
Mach-Zehnder interferometer (MZI),photonics,2×2 phase matrix in Hollowlens-0.,Interferometer converting phase/coupling changes into output intensity differences.,ESTABLISHED PHOTONICS,Needs stable path balance and calibration.,"Spherical Throughput pp.4,9,12"
mode-overlap integral,photonics,Spherical field couples to a chosen guided mode.,Normalized field overlap ηc between input field and mode.,ESTABLISHED PHOTONICS,"Polarization, normalization and complex field conventions must be explicit.",Spherical Throughput p.5
B.C.E.,event logic,Bounded Compatibility Event.,"Emit an event only when support, compatibility and measured guard conditions pass, with confidence and lineage.",SOURCE-DEFINED OPERATOR,Requires a digital sidecar and declared thresholds; not mystical gating.,"Spherical Throughput pp.1,3,5-9"
