source_id,title,pages,bytes,sha256,family,status,role,privacy
S01,"Glyph-to-bit, 100% and timeline addendum",29,450338,fc5ffcd4c8e6f53cc0d4a0103ba14be3b4673246a2b2d7e0369fb33f6b5829d3,numeric-glyph-addendum,PRIMARY ADDENDUM,"New addendum: custom glyph encoder, pulse pair, log-polar/SDF register model, trident/cup threshold motif",Personal contextual details omitted from synthesis
S02,"Zero-based timeline, split oval and overlap geometry",19,4163199,1ab4f04669ded1aa2308c28ce634e487fa4c26ba0a82bfe436e606388ef0f6dd,numeric-geometry,PRIMARY,"Index/ordinal distinction; torsional split-oval; double arches; overlap lens as interference, tolerance and shared domain",Narrative and political material excluded as non-technical
S03,Chronological synthesis of the spherical substrate line,12,2111182,9bacfe071a64951fb412798a036e08f9d445b83087acb001b660e64d6036e052,canonical-synthesis,CANONICAL,"Mature interpretive rule: queryable relations, support, compatibility, event solving, transition, lineage, novelty log",None
S04,Vector graphical art system,10,173133,6518f7f73f46ec6c6288fe93f95e8d9e4f331376aee33ceb26f4508a1e30e58c,projection-output,TRANSLATED,"Log-polar addressing, SDF/CSG, phasor-like coverage, PDM/delta-sigma, chromatic offsets and prepress output",System name retained only as corpus label
S05,Practical waveguide liquid-substrate lensing,12,464845,949d7ee3cd7c9e4ffdb27d63b2805ce4f1491568a6fdd5b7e04331d3c96d16ac,physical-hardware,CANONICAL HARDWARE,"Bounded optofluidic endpoint, measured B.C.E., benchmark vector, fabrication and kill criteria",None
S06,D–phi–torque extended dialogue (title redacted),52,4714143,543515e2a0f3b545cb14db9133587835180d7e7d2c8f8c1ec769cf1f8682f043,d-phi-torque-family,EXPLORATORY / DEDUPED,"Large exploratory branch: glyph morphing, parity hinge, SDF cone, Möbius/Klein motifs, fixed-width records, AR/waveguide and speculative biology",Original title contains personal identifiers; excluded
S07,D–phi–torque extended variant,42,4517038,41fab10296500bfca59b2ffe97b7ef9f3d47502f2d943294c3ca8b96bbaf7114,d-phi-torque-family,EXPLORATORY / DEDUPED,Near-duplicate branch with a later grounded technical specification and dream/AR analogies,Personal/contextual passages omitted
S08,Hollowland double-vacuum exploration,36,1008188,69a6b341d02c87f43dcaf048489ef0b046c9a6d0a24efbc61f180f696d9912a8,topology-grand-claims,MOTIF SOURCE / CLAIMS AUDITED,"Source of double-vacuum, Klein, hourglass, event horizon, UUID, GPU-native and compression rhetoric",None
S09,"19, radix thresholds and fractal topology",30,460740,745ceb1251ac496d5137deb2a83e33b41a0812072844809d2580b6d597c188ee,numeric-fractal,PRIMARY MOTIF SOURCE,"Radix thresholds, active-bit/phonetic map, Pascal parity, Sierpiński, cone/lemniscate/chirality and log-polar motifs",Personal contextual details omitted
S10,D–phi–torque compact variant,34,4426242,66f17de45fd6e358700d97296e581eb8fc3e93d49bf7a0681531b66ebdd922fe,d-phi-torque-family,EXPLORATORY / DEDUPED,"Shorter near-duplicate of the D–phi–torque family; useful for glyph, SDF, fixed-width and waveguide motifs",Personal identifiers omitted
