application_id,domain,application,reference_id,reference_title,reference_url
BIO-01,Biomedical & healthcare,MRI adaptive acquisition and sequence orchestration,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
BIO-01,Biomedical & healthcare,MRI adaptive acquisition and sequence orchestration,R1,Magnetic Resonance Imaging (MRI),https://www.fda.gov/radiation-emitting-products/medical-imaging/mri-magnetic-resonance-imaging
BIO-01,Biomedical & healthcare,MRI adaptive acquisition and sequence orchestration,R2,Magnetic resonance imaging (MRI) scans,https://www.nibib.nih.gov/science-education/science-topics/magnetic-resonance-imaging-mri
BIO-01,Biomedical & healthcare,MRI adaptive acquisition and sequence orchestration,R3,Sparse MRI: The application of compressed sensing for rapid MR imaging,https://doi.org/10.1002/mrm.21391
BIO-01,Biomedical & healthcare,MRI adaptive acquisition and sequence orchestration,R5,Testing and Labeling Medical Devices for Safety in the Magnetic Resonance Environment,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/testing-and-labeling-medical-devices-safety-magnetic-resonance-mr-environment
BIO-02,Biomedical & healthcare,MRI physics-constrained direct parameter query,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
BIO-02,Biomedical & healthcare,MRI physics-constrained direct parameter query,R3,Sparse MRI: The application of compressed sensing for rapid MR imaging,https://doi.org/10.1002/mrm.21391
BIO-02,Biomedical & healthcare,MRI physics-constrained direct parameter query,R4,Magnetic resonance fingerprinting,https://doi.org/10.1038/nature11971
BIO-03,Biomedical & healthcare,MRI narrow diagnostic instrument as an alternative to full imaging,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
BIO-03,Biomedical & healthcare,MRI narrow diagnostic instrument as an alternative to full imaging,R1,Magnetic Resonance Imaging (MRI),https://www.fda.gov/radiation-emitting-products/medical-imaging/mri-magnetic-resonance-imaging
BIO-03,Biomedical & healthcare,MRI narrow diagnostic instrument as an alternative to full imaging,R4,Magnetic resonance fingerprinting,https://doi.org/10.1038/nature11971
BIO-03,Biomedical & healthcare,MRI narrow diagnostic instrument as an alternative to full imaging,R5,Testing and Labeling Medical Devices for Safety in the Magnetic Resonance Environment,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/testing-and-labeling-medical-devices-safety-magnetic-resonance-mr-environment
BIO-04,Biomedical & healthcare,"MRI motion, respiratory and cardiac event gating",C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
BIO-04,Biomedical & healthcare,"MRI motion, respiratory and cardiac event gating",R1,Magnetic Resonance Imaging (MRI),https://www.fda.gov/radiation-emitting-products/medical-imaging/mri-magnetic-resonance-imaging
BIO-04,Biomedical & healthcare,"MRI motion, respiratory and cardiac event gating",R3,Sparse MRI: The application of compressed sensing for rapid MR imaging,https://doi.org/10.1002/mrm.21391
BIO-05,Biomedical & healthcare,MRI safety and implant compatibility engine,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
BIO-05,Biomedical & healthcare,MRI safety and implant compatibility engine,R5,Testing and Labeling Medical Devices for Safety in the Magnetic Resonance Environment,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/testing-and-labeling-medical-devices-safety-magnetic-resonance-mr-environment
BIO-05,Biomedical & healthcare,MRI safety and implant compatibility engine,R6,FHIR R5 Specification,https://hl7.org/fhir/
BIO-06,Biomedical & healthcare,Ultrasound echo-event acquisition and beam control,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
BIO-06,Biomedical & healthcare,Ultrasound echo-event acquisition and beam control,R31,A 10.4-ENOB 0.92-5.38 uW Event-Driven Level-Crossing ADC,https://lirias.kuleuven.be/retrieve/16f6ab16-2034-48a3-aab2-386c85bbaf9d
BIO-07,Biomedical & healthcare,CT/PET task-specific sparse acquisition,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
BIO-08,Biomedical & healthcare,Microscopy and cell-culture event microscope,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
BIO-08,Biomedical & healthcare,Microscopy and cell-culture event microscope,R30,A 128x128 120 dB 15 us latency asynchronous temporal contrast vision sensor,https://doi.org/10.1109/JSSC.2007.914337
BIO-09,Biomedical & healthcare,ICU and ward event-native patient monitoring,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
BIO-09,Biomedical & healthcare,ICU and ward event-native patient monitoring,R6,FHIR R5 Specification,https://hl7.org/fhir/
BIO-09,Biomedical & healthcare,ICU and ward event-native patient monitoring,R7,FHIR Subscription,https://fhir.hl7.org/fhir/subscription.html
BIO-09,Biomedical & healthcare,ICU and ward event-native patient monitoring,R8,Ethics and governance of artificial intelligence for health,https://www.who.int/publications/i/item/9789240029200
BIO-09,Biomedical & healthcare,ICU and ward event-native patient monitoring,R10,WHO guideline: recommendations on digital interventions for health system strengthening,https://www.who.int/publications/i/item/9789241550505
BIO-10,Biomedical & healthcare,Surgical navigation and tool-tissue time-of-contact,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
BIO-10,Biomedical & healthcare,Surgical navigation and tool-tissue time-of-contact,R33,Time of Impact Dataset for Continuous Collision Detection and a Scalable Conservative Algorithm,https://arxiv.org/abs/2112.06300
BIO-10,Biomedical & healthcare,Surgical navigation and tool-tissue time-of-contact,R34,A Generalized Continuous Collision Detection Framework of Polynomial Trajectory for Mobile Robots,https://arxiv.org/abs/2206.13175
BIO-11,Biomedical & healthcare,"Medication, infusion and closed-loop therapy guard engine",C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
BIO-11,Biomedical & healthcare,"Medication, infusion and closed-loop therapy guard engine",R6,FHIR R5 Specification,https://hl7.org/fhir/
BIO-11,Biomedical & healthcare,"Medication, infusion and closed-loop therapy guard engine",R7,FHIR Subscription,https://fhir.hl7.org/fhir/subscription.html
BIO-11,Biomedical & healthcare,"Medication, infusion and closed-loop therapy guard engine",R8,Ethics and governance of artificial intelligence for health,https://www.who.int/publications/i/item/9789240029200
BIO-12,Biomedical & healthcare,Cradle-to-life longitudinal patient journey substrate,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
BIO-12,Biomedical & healthcare,Cradle-to-life longitudinal patient journey substrate,R6,FHIR R5 Specification,https://hl7.org/fhir/
BIO-12,Biomedical & healthcare,Cradle-to-life longitudinal patient journey substrate,R7,FHIR Subscription,https://fhir.hl7.org/fhir/subscription.html
BIO-12,Biomedical & healthcare,Cradle-to-life longitudinal patient journey substrate,R8,Ethics and governance of artificial intelligence for health,https://www.who.int/publications/i/item/9789240029200
BIO-12,Biomedical & healthcare,Cradle-to-life longitudinal patient journey substrate,R28,PROV-O: The PROV Ontology,https://www.w3.org/TR/prov-o/
BIO-13,Biomedical & healthcare,"Maternal, fetal, birth and neonatal journey coordination",C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
BIO-13,Biomedical & healthcare,"Maternal, fetal, birth and neonatal journey coordination",R6,FHIR R5 Specification,https://hl7.org/fhir/
BIO-13,Biomedical & healthcare,"Maternal, fetal, birth and neonatal journey coordination",R8,Ethics and governance of artificial intelligence for health,https://www.who.int/publications/i/item/9789240029200
BIO-14,Biomedical & healthcare,"Hospital flow, beds, theatres and discharge event twin",C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
BIO-14,Biomedical & healthcare,"Hospital flow, beds, theatres and discharge event twin",R6,FHIR R5 Specification,https://hl7.org/fhir/
BIO-14,Biomedical & healthcare,"Hospital flow, beds, theatres and discharge event twin",R7,FHIR Subscription,https://fhir.hl7.org/fhir/subscription.html
BIO-14,Biomedical & healthcare,"Hospital flow, beds, theatres and discharge event twin",R10,WHO guideline: recommendations on digital interventions for health system strengthening,https://www.who.int/publications/i/item/9789241550505
BIO-15,Biomedical & healthcare,Mental-health longitudinal care and research substrate,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
BIO-15,Biomedical & healthcare,Mental-health longitudinal care and research substrate,R8,Ethics and governance of artificial intelligence for health,https://www.who.int/publications/i/item/9789240029200
BIO-15,Biomedical & healthcare,Mental-health longitudinal care and research substrate,R9,Ethics and governance of artificial intelligence for health: guidance on large multi-modal models,https://www.who.int/publications/i/item/9789240084759
BIO-15,Biomedical & healthcare,Mental-health longitudinal care and research substrate,R10,WHO guideline: recommendations on digital interventions for health system strengthening,https://www.who.int/publications/i/item/9789241550505
BIO-15,Biomedical & healthcare,Mental-health longitudinal care and research substrate,R11,Research Domain Criteria (RDoC) Initiative,https://www.nimh.nih.gov/research/research-funded-by-nimh/rdoc
BIO-16,Biomedical & healthcare,Clinical trial and observational study event graph,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
BIO-16,Biomedical & healthcare,Clinical trial and observational study event graph,R6,FHIR R5 Specification,https://hl7.org/fhir/
BIO-16,Biomedical & healthcare,Clinical trial and observational study event graph,R28,PROV-O: The PROV Ontology,https://www.w3.org/TR/prov-o/
BIO-16,Biomedical & healthcare,Clinical trial and observational study event graph,R29,The FAIR Guiding Principles for scientific data management and stewardship,https://doi.org/10.1038/sdata.2016.18
BIO-17,Biomedical & healthcare,Biomedical sample and biobank lineage,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
BIO-17,Biomedical & healthcare,Biomedical sample and biobank lineage,R26,EPCIS and Core Business Vocabulary,https://www.gs1.org/standards/epcis
BIO-17,Biomedical & healthcare,Biomedical sample and biobank lineage,R27,GS1 Global Traceability Standard,https://www.gs1.org/standards/traceability
BIO-17,Biomedical & healthcare,Biomedical sample and biobank lineage,R28,PROV-O: The PROV Ontology,https://www.w3.org/TR/prov-o/
BIO-18,Biomedical & healthcare,Protein dynamics and molecular-event simulation,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
BIO-19,Biomedical & healthcare,CRISPR and gene-editing in-silico candidate pruning,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
BIO-19,Biomedical & healthcare,CRISPR and gene-editing in-silico candidate pruning,R8,Ethics and governance of artificial intelligence for health,https://www.who.int/publications/i/item/9789240029200
BIO-19,Biomedical & healthcare,CRISPR and gene-editing in-silico candidate pruning,R9,Ethics and governance of artificial intelligence for health: guidance on large multi-modal models,https://www.who.int/publications/i/item/9789240084759
BIO-20,Biomedical & healthcare,Public-health event and service-absence observatory,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
BIO-20,Biomedical & healthcare,Public-health event and service-absence observatory,R6,FHIR R5 Specification,https://hl7.org/fhir/
BIO-20,Biomedical & healthcare,Public-health event and service-absence observatory,R7,FHIR Subscription,https://fhir.hl7.org/fhir/subscription.html
BIO-20,Biomedical & healthcare,Public-health event and service-absence observatory,R8,Ethics and governance of artificial intelligence for health,https://www.who.int/publications/i/item/9789240029200
BIO-20,Biomedical & healthcare,Public-health event and service-absence observatory,R24,OGC SensorThings API Standard,https://www.ogc.org/standards/sensorthings/
PHY-01,Semiconductor & physical manufacturing,ASML/EUV event-native exposure and scanner control,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
PHY-01,Semiconductor & physical manufacturing,ASML/EUV event-native exposure and scanner control,R12,Computational lithography,https://www.asml.com/products/computational-lithography
PHY-01,Semiconductor & physical manufacturing,ASML/EUV event-native exposure and scanner control,R13,EUV lithography systems,https://www.asml.com/products/euv-lithography-systems
PHY-01,Semiconductor & physical manufacturing,ASML/EUV event-native exposure and scanner control,R14,ASML and imec open joint High NA EUV Lithography Lab,https://www.asml.com/news/press-releases/2024/asml-imec-opening-high-na-euv-lithography-lab
PHY-02,Semiconductor & physical manufacturing,Computational lithography hotspot query engine,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
PHY-02,Semiconductor & physical manufacturing,Computational lithography hotspot query engine,R12,Computational lithography,https://www.asml.com/products/computational-lithography
PHY-03,Semiconductor & physical manufacturing,Reduced-order Maxwell/rigorous simulation query service,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
PHY-03,Semiconductor & physical manufacturing,Reduced-order Maxwell/rigorous simulation query service,R12,Computational lithography,https://www.asml.com/products/computational-lithography
PHY-03,Semiconductor & physical manufacturing,Reduced-order Maxwell/rigorous simulation query service,R13,EUV lithography systems,https://www.asml.com/products/euv-lithography-systems
PHY-04,Semiconductor & physical manufacturing,"Reticle, wafer and process lineage graph",C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
PHY-04,Semiconductor & physical manufacturing,"Reticle, wafer and process lineage graph",R26,EPCIS and Core Business Vocabulary,https://www.gs1.org/standards/epcis
PHY-04,Semiconductor & physical manufacturing,"Reticle, wafer and process lineage graph",R27,GS1 Global Traceability Standard,https://www.gs1.org/standards/traceability
PHY-04,Semiconductor & physical manufacturing,"Reticle, wafer and process lineage graph",R28,PROV-O: The PROV Ontology,https://www.w3.org/TR/prov-o/
PHY-05,Semiconductor & physical manufacturing,Wafer-stage and robot continuous motion scheduling,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
PHY-05,Semiconductor & physical manufacturing,Wafer-stage and robot continuous motion scheduling,R33,Time of Impact Dataset for Continuous Collision Detection and a Scalable Conservative Algorithm,https://arxiv.org/abs/2112.06300
PHY-05,Semiconductor & physical manufacturing,Wafer-stage and robot continuous motion scheduling,R34,A Generalized Continuous Collision Detection Framework of Polynomial Trajectory for Mobile Robots,https://arxiv.org/abs/2206.13175
PHY-06,Semiconductor & physical manufacturing,Fab chamber next-fault digital twin,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
PHY-07,Semiconductor & physical manufacturing,Metrology optical prefilter and B.C.E. detector,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
PHY-08,Semiconductor & physical manufacturing,"PCB routing, revision and signal-integrity event graph",C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
PHY-09,Semiconductor & physical manufacturing,Pick-and-place event-native cell,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
PHY-09,Semiconductor & physical manufacturing,Pick-and-place event-native cell,R26,EPCIS and Core Business Vocabulary,https://www.gs1.org/standards/epcis
PHY-09,Semiconductor & physical manufacturing,Pick-and-place event-native cell,R33,Time of Impact Dataset for Continuous Collision Detection and a Scalable Conservative Algorithm,https://arxiv.org/abs/2112.06300
PHY-09,Semiconductor & physical manufacturing,Pick-and-place event-native cell,R34,A Generalized Continuous Collision Detection Framework of Polynomial Trajectory for Mobile Robots,https://arxiv.org/abs/2206.13175
PHY-10,Semiconductor & physical manufacturing,Additive manufacturing melt-pool event control,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
PHY-11,Semiconductor & physical manufacturing,CNC and tool-wear next-event control,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
