id,domain,application,current_baseline,proposed_role,boundary,maturity,evidence,core_operators,exemplar_event_guard,auditable_absence,candidate_metrics,minimum_pilot,principal_risks,references
BIO-01,Biomedical & healthcare,MRI adaptive acquisition and sequence orchestration,Fixed or protocol-driven pulse sequences acquire k-space data and reconstruct images before downstream interpretation.,"Use local anatomical/physiological support, motion and safety compatibility, and quantitative guard conditions to adapt which measurements are acquired next.",Addition to MRI acquisition and control; not a magnet replacement.,Near-term research pilot,Corpus pattern + established MRI precedent,direct state query; next-event solve; local support; compatibility gate; guard/event surface; lineage/provenance,Acquire the next encoding block when predicted information gain or quantitative uncertainty crosses a declared threshold and safety constraints remain satisfied.,"Expected calibration, physiological gating or coil data fail to arrive within the sequence window despite verified sensor coverage.",Diagnostic task performance; scan time; acquired samples; SAR and gradient limits; motion artifacts; events/J; false-adaptation rate.,"Retrospective raw-data replay, then a phantom or volunteer study with a locked protocol and conventional reconstruction reference.",Adaptive bias; missed pathology; instability; regulatory validation; patient safety.,C0; R1; R2; R3; R5
BIO-02,Biomedical & healthcare,MRI physics-constrained direct parameter query,"Conventional pipelines produce images, then estimate tissue or functional parameters.","Represent Bloch-model-compatible signal families as relations and query selected parameters or change events directly, optionally using images as a view.",Partial replacement of selected reconstruction stages for bounded tasks.,Research prototype,Cross-domain inference supported by quantitative MRI,direct state query; local support; compatibility gate; guard/event surface; materialized view,Parameter posterior or certified interval enters a clinically meaningful range under sufficient acquisition support.,A parameter cannot be certified because the required excitation/encoding support was never observed.,Parameter bias/variance; calibration; scan time; task AUC; reconstruction energy; uncertainty coverage.,"Phantom study comparing direct parameter estimates, MRF-style matching and standard image-first workflow.",Model mismatch; dictionary/expression growth; non-identifiability; clinical interpretability.,C0; R3; R4
BIO-03,Biomedical & healthcare,MRI narrow diagnostic instrument as an alternative to full imaging,Full MRI forms general-purpose images even when the clinical question is narrow.,"Design a task-specific MR instrument that answers a bounded question such as relaxation change, flow threshold or lesion-presence probability without requiring a full diagnostic image.",Alternative narrow instrument; full MRI replacement unsupported.,Frontier concept,Pilot hypothesis,direct state query; local support; compatibility gate; guard/event surface; materialized view,A task-specific signal relation crosses a validated threshold with confidence and safety conditions satisfied.,"The expected signal support is absent, but only after coil, sequence and coverage integrity are verified.",Sensitivity/specificity; acquisition time; energy; footprint; cost; inconclusive rate; referral-to-full-MRI rate.,Start with a benchtop NMR/MR phantom and a single quantitative task.,Loss of generality; hidden confounders; regulatory burden; false reassurance.,C0; R1; R4; R5
BIO-04,Biomedical & healthcare,"MRI motion, respiratory and cardiac event gating","Motion correction often relies on repeated acquisition, navigators or retrospective processing.",Treat motion/physiology as continuous state and solve for compatible acquisition windows or correction events rather than replaying uniform frames.,Addition.,Near-term pilot,Established component + corpus mapping,next-event solve; local support; compatibility gate; guard/event surface; auditable absence,Predicted motion enters an admissible window and a sequence block is admitted; otherwise hold or redirect.,A required quiet-window event never occurs within the allowed interval.,Rejected acquisitions; reacquisition rate; image/parameter quality; latency; patient time.,Integrate an external motion sensor with retrospective MR sequence logs.,Sensor drift; phase mismatch; prolonged scans; selection bias.,C0; R1; R3
BIO-05,Biomedical & healthcare,MRI safety and implant compatibility engine,Safety screening is document- and workflow-heavy and can fail when implant identity or conditions are incomplete.,"Model implant identity, field strength, sequence limits and patient state as a compatibility predicate with provenance and explicit reason codes.",Addition to safety workflow.,Implementable integration,Standards/guidance + corpus compatibility,compatibility gate; lineage/provenance; auditable absence; guard/event surface,Scan becomes admissible only when all required device attributes and MR-conditional constraints are present and current.,"Missing implant identity or condition is logged as a blocking absence, not silently treated as safe.",Screening completeness; prevented unsafe scans; delay time; override rate; auditability.,FHIR-compatible registry and rules engine in one MRI service line.,Incorrect device metadata; stale labeling; workflow bypass; privacy.,C0; R5; R6
BIO-06,Biomedical & healthcare,Ultrasound echo-event acquisition and beam control,Uniform RF sampling and image formation precede measurement of most clinical features.,"Use level-crossing or feature-triggered acquisition, local beam support and direct arrival-time/flow events to reduce irrelevant conversion and processing.",Addition or partial replacement of acquisition/reconstruction for narrow tasks.,Research prototype,Cross-domain inference + event ADC precedent,next-event solve; local support; guard/event surface; analog/photonic front end; materialized view,"Echo arrival, Doppler shift or tissue-boundary relation crosses a validated threshold within the beam support.",Expected echo absent only when transducer contact and acoustic coverage are verified.,Samples/event; energy; latency; sensitivity; localization error; image equivalence when a view is produced.,Phantom and flow-loop test with simultaneous conventional RF capture.,Information loss; nonlinear propagation; aliasing; difficult certification.,C0; R31
BIO-07,Biomedical & healthcare,CT/PET task-specific sparse acquisition,Tomographic systems acquire projections and reconstruct volumetric images before many decisions.,"Select measurement supports adaptively and solve for bounded findings or quantitative changes with explicit uncertainty, retaining full reconstruction as fallback.",Addition/partial replacement in bounded tasks.,Research concept,Cross-domain inference,direct state query; local support; compatibility gate; guard/event surface; materialized view,Task confidence reaches a preset boundary without violating dose/count constraints.,A required angular or count support is absent; result remains inconclusive rather than negative.,Dose or tracer counts; task performance; scan time; uncertainty; fallback rate.,Digital phantom and archived raw-data challenge.,Dose-selection bias; hallucinated structure; regulatory validation.,C0
BIO-08,Biomedical & healthcare,Microscopy and cell-culture event microscope,High-throughput microscopy generates large image stacks that are later searched for rare events.,"Use local optical supports, event sensors or analog prefilters to emit only lineage-aware cell events such as division, migration, morphology change or fluorescence threshold crossing.","Addition and, for narrow assays, partial replacement of continuous imaging.",Near-term research pilot,Event-sensor precedent + corpus pattern,next-event solve; local support; compatibility gate; guard/event surface; lineage/provenance; analog/photonic front end,"A tracked cell lineage crosses a morphology, intensity or interaction guard with sufficient optical support.",Expected cell or marker observation absent only when field coverage and sensor health are known.,Events/J; bytes/experiment; missed/false events; lineage accuracy; phototoxic exposure.,Parallel conventional imaging and event extraction on a well-defined assay.,Rare-event miss; lineage swaps; optical drift; loss of serendipitous observations.,C0; R30
BIO-09,Biomedical & healthcare,ICU and ward event-native patient monitoring,Continuous monitors produce dense streams and alarm fatigue while context is split across systems.,"Maintain a continuous patient state, local physiological supports, compatibility with interventions and an auditable event record for threshold crossings and trends.",Addition to monitoring and clinical decision support.,Near-term pilot,Standards + corpus inference,direct state query; next-event solve; compatibility gate; guard/event surface; lineage/provenance; auditable absence,"A validated physiological relation crosses a severity guard and matches the patient context, sensor quality and treatment phase.","Expected vital, medication response or reassessment is absent despite confirmed observation coverage.",Alarm precision/recall; time to recognition; clinician workload; missed-data rate; intervention outcomes.,Silent-mode retrospective validation followed by prospective shadow deployment.,Alarm overreach; sensor artifacts; automation bias; privacy; clinical liability.,C0; R6; R7; R8; R10
BIO-10,Biomedical & healthcare,Surgical navigation and tool-tissue time-of-contact,Navigation and collision checks often run at fixed update rates and depend on reconstructed scenes.,Represent tool and anatomy trajectories continuously; solve certified time-of-contact events within local support and surgical permissions.,Addition.,Research prototype,CCD precedent + corpus mapping,next-event solve; local support; compatibility gate; guard/event surface; lineage/provenance,Earliest predicted tool/tissue contact or no-go-zone crossing under uncertainty.,Tracking signal absence blocks the action rather than implying clearance.,Contact-time error; missed crossings; latency; false stops; surgeon workload.,Simulation and benchtop phantom with a conventional navigation baseline.,Deformable anatomy; tracking dropout; model error; safety certification.,C0; R33; R34
